,objectId,marriageStatus,occupation,educationLevel,latitude,longitude,age,sex,clustersByLoc,province,yearsLivedinThisHouse,waterAccess,typeofWaterdoyoudrink,latrineAccess,conditionoFloorinyourhouse,conditionoRoofinyourhouse,medicalproblemswheredoyougo,dentalproblemswheredoyougo,biggestproblemofcommunity,timesperweektrashcollected,wheretrashleftbetweenpickups,numberofIndividualsLivingintheHouse,numberofChildrenLivinginHouseUndertheAgeof5,houseownership,bathroomAccess
3844,6PaJsOW4bn,single,Other,lessThanprimary,18.461625,-69.20427140000001,58.0,female,0,Lavega,moreThan10,everyday,bottled,Y,cementWorking,working,Al Musa Hospital,Other,Other,1-2,outside house,2,0,,Y
3845,IG6TwB2D64,widow,Ama de casa,college,18.461625,-69.20427140000001,59.0,female,0,Lavega,moreThan10,everyday,bottled,,cementPoor,poor,Other,Other,Water,1-2,outside house,1,0,owned,Y
3846,cjD1cIlonj,married,Other,college,18.4621418,-69.2042598,28.0,female,0,Lavega,5-10,everyday,bottled,,cementWorking,working,Other,Other,Other,1-2,street,3,1,owned,Y
3847,g2ePeV46W3,married,Ama de casa,lessThanprimary,18.4626896,-69.2044228,73.0,female,0,Lavega,1-2,everyday,bottled,,cementWorking,working,Other,Other,Other,1-2,outside house,4,0,owned,Y
3848,asrzwsfl6V,single,Ama de casa,lessThanprimary,18.4625385,-69.20348809999999,61.0,female,0,Lavega,moreThan10,everyday,bottled,,cementWorking,working,Other,Other,Other,1-2,outside house,2,0,owned,Y
3849,i7ihMzMmGT,free_union,No trabaja,lessThanprimary,18.4624864,-69.2026417,54.0,male,0,Lavega,moreThan10,everyday,bottled,Y,cementPoor,poor,Al Musa Hospital,Other,Garbage,1-2,street,7,2,owned,
3850,jntK2Drre5,single,Ninguna,lessThanprimary,18.4624778,-69.2026333,80.0,female,0,Lavega,moreThan10,everyday,bottled,Y,cementPoor,poor,Al Musa Hospital,Other,Garbage,1-2,street,2,0,owned,
3851,rjH1OBAOpr,free_union,Other,lessThanprimary,18.4624864,-69.2026417,49.0,male,0,Lavega,moreThan10,everyday,bottled,,dirtWorking,working,Other,Other,Other,1-2,outside house,6,0,rented,Y
3852,JXeGB5WQWt,free_union,Ama de casa,lessThanprimary,18.4624772,-69.20262890000001,46.0,female,0,Lavega,moreThan10,everyday,bottled,,cementPoor,poor,Al Musa Hospital,Other,Garbage,1-2,street,7,2,owned,Y
3853,UZ7Gq5z0zk,single,Ama de casa,lessThanprimary,18.4623862,-69.20253690000001,56.0,female,0,Lavega,moreThan10,everyday,bottled,,cementWorking,poor,Other,Other,Garbage,1-2,street,4,2,owned,Y
3854,3MPzDMvUyT,single,Other,lessThanprimary,18.4624864,-69.2026417,29.0,male,0,Lavega,moreThan10,everyday,bottled,,cementWorking,working,Other,Other,Other,1-2,outside house,2,0,owned,Y
3855,gTKTwskst4,single,Other,lessThanprimary,18.4624864,-69.2026417,54.0,female,0,Lavega,moreThan10,everyday,bottled,,cementWorking,working,Al Musa Hospital,Al Musa Hospital,Unemployment,1-2,street,6,1,owned,Y
3856,jQTb9k4vQa,single,Ama de casa,lessThanprimary,18.4624198,-69.2025848,59.0,female,0,Lavega,moreThan10,everyday,bottled,,cementWorking,working,Other Hospital,Other,Other,1-2,street,2,0,owned,Y
3857,uU36JcSf4P,free_union,Ama de casa,highschool,18.4624693,-69.2026254,26.0,female,0,Lavega,3-4,everyday,bottled,Y,cementWorking,working,Other,Other,Other,1-2,other,4,2,owned,
3858,GEM9kK03XL,free_union,Ama de casa,someHighSchool,18.4624864,-69.2026417,36.0,female,0,Lavega,moreThan10,everyday,bottled,,cementWorking,poor,Al Musa Hospital,Al Musa Hospital,Garbage,1-2,street,3,1,owned,Y
3859,15FVCTqi3j,free_union,Other,lessThanprimary,18.4624864,-69.2026417,44.0,male,0,Lavega,moreThan10,everyday,bottled,,cementWorking,working,Al Musa Hospital,Other,Other,1-2,outside house,2,0,owned,Y
3860,jwYzJKQvla,single,Other,lessThanprimary,18.4624864,-69.2026417,54.0,male,0,Lavega,moreThan10,everyday,bottled,Y,cementWorking,working,Al Musa Hospital,Other,Unemployment,1-2,outside house,4,0,owned,
3861,0B8auCam3P,single,Other,someHighSchool,18.4624683,-69.2026244,50.0,male,0,Lavega,moreThan10,everyday,bottled,Y,cementWorking,working,Other,Other,Unemployment,1-2,outside house,4,0,owned,
3862,ZyDnekvhZ3,single,Other,someHighSchool,18.4624864,-69.2026417,24.0,male,0,Lavega,moreThan10,everyday,bottled,Y,cementWorking,working,Al Musa Hospital,Al Musa Hospital,Other,1-2,street,7,0,owned,
3863,H0rkr6Vt3M,single,Ama de casa,lessThanprimary,18.4624617,-69.2026184,59.0,female,0,Lavega,moreThan10,everyday,bottled,,cementWorking,working,Al Musa Hospital,Other,Other,1-2,other,2,0,rented,Y
3864,5jsyblNkDA,free_union,Other,lessThanprimary,18.4625991,-69.20430640000001,70.0,male,0,Lavega,moreThan10,everyday,bottled,,cementWorking,poor,Other Hospital,Other,Other,1-2,outside house,3,0,owned,Y
3865,k3XyUofMSY,married,Other,someHighSchool,18.4625984,-69.20429990000001,53.0,male,0,Lavega,moreThan10,2-3AWeek,bottled,,cementPoor,poor,Other,Other,Water,1-2,street,4,1,owned,Y
3866,3o1i2P33FI,widow,Other,lessThanprimary,18.4625991,-69.20430640000001,56.0,male,0,Lavega,moreThan10,2-3AWeek,bottled,Y,dirtWorking,working,Other,Other,Roads,1-2,outside house,3,0,owned,
3867,f5Vl2UWKem,single,Other,lessThanprimary,18.4625991,-69.20430640000001,66.0,male,0,Lavega,moreThan10,everyday,bottled,,dirtWorking,poor,Other,Other,Other,1-2,outside house,1,0,owned,Y
3868,kwmzJtL4qp,single,Other,lessThanprimary,18.4623689,-69.204318,59.0,male,0,Lavega,moreThan10,everyday,bottled,,cementPoor,working,Other,Other,Other,1-2,outside house,1,0,rented,Y
3869,mso02TwhH6,single,Other,lessThanprimary,18.4623612,-69.20433940000001,48.0,male,0,Lavega,moreThan10,everyday,bottled,,cementWorking,working,Other,Other,Other,1-2,other,1,0,owned,Y
3870,nmSnnXl7qX,single,Other,lessThanprimary,18.4622635,-69.20513290000001,53.0,female,0,Lavega,moreThan10,everyday,bottled,,cementWorking,working,Other,Other,Other,0,burned,4,0,owned,Y
3871,wyf4zRLUG0,single,Ama de casa,highschool,18.4541672,-69.1873625,23.0,female,0,Lavega,moreThan10,everyday,bottled,,cementPoor,poor,Other,Other,Other,0,other,2,0,owned,Y
3872,330w8zCWED,free_union,Ama de casa,primary,18.873211110405308,-70.72897509456548,24.0,female,1,San Pedro de Macoris,lessThan1,everyday,bottled,N,dirtPoor,poor,Other Hospital,Other Hospital,Other,1-2,outside house,4,2,owned,N
3873,eDNllcfJIF,free_union,Other,highschool,18.873950592259764,-70.72862042120725,22.0,female,1,San Pedro de Macoris,lessThan1,everyday,bottled,Y,cementWorking,working,Other Hospital,Clinic,Other,1-2,outside house,3,1,owned,
3874,pz0NOG6njs,single,Ama de casa,lessThanprimary,18.4559354,-69.1966755,46.0,female,0,Lavega,moreThan10,everyday,bottled,,cementWorking,working,Other,Other,Other,0,burned,6,1,owned,Y
3875,UYp8C5K3uf,single,Other,lessThanprimary,18.4536144,-69.1825197,81.0,male,0,Lavega,moreThan10,everyday,bottled,N,cementWorking,working,Al Musa Hospital,Other,Other,0,burned,2,0,owned,N
3876,rF7Gm3OePD,single,Ama de casa,lessThanprimary,18.448906,-69.1907152,53.0,female,0,Lavega,moreThan10,everyday,bottled,,cementPoor,poor,Other,Other,Other,0,burned,4,1,owned,Y
3877,1WG8vtF50H,single,Ama de casa,lessThanprimary,18.4547524,-69.2072283,21.0,female,0,Lavega,3-4,everyday,bottled,Y,cementPoor,poor,Other,Other,Other,1-2,outside house,8,1,owned,
3878,Mv1roZFCkN,free_union,Ama de casa,lessThanprimary,18.455081,-69.2074029,57.0,female,0,Lavega,moreThan10,everyday,bottled,Y,cementPoor,working,Other,Other,Other,1-2,outside house,3,0,owned,
3879,FICf8iumwv,widow,Ama de casa,lessThanprimary,18.454738100000004,-69.2073155,79.0,female,0,Lavega,moreThan10,everyday,bottled,Y,dirtWorking,working,Other,Other,Other,0,other,1,1,owned,
3880,xCClhNkp3f,single,Comerciante,lessThanprimary,18.4547432,-69.2072465,73.0,female,0,Lavega,moreThan10,everyday,bottled,,cementWorking,working,Other,Other,Other,1-2,outside house,8,0,owned,Y
3881,HYqGLHqDzV,free_union,Other,lessThanprimary,18.494889,-69.2638199,67.0,male,0,Lavega,5-10,everyday,bottled,,cementWorking,working,Al Musa Hospital,Al Musa Hospital,Other,0,burned,5,0,rented,Y
3882,3BrTq6AVKQ,free_union,Other,college,18.4547722,-69.20726859999999,29.0,female,0,Lavega,moreThan10,everyday,bottled,,cementWorking,working,Other,Other,Other,0,other,7,2,rented,Y
3883,tbG17XeLma,single,Other,highschool,18.4547583,-69.20721340000001,29.0,female,0,Lavega,moreThan10,everyday,bottled,,cementWorking,working,Other,Other,Other,0,other,3,5,rented,Y
3884,20CuP8oeRB,single,Ama de casa,college,18.4547531,-69.2074128,20.0,female,0,Lavega,moreThan10,everyday,bottled,,cementWorking,working,Other,Other,Other,1-2,outside house,4,0,owned,Y
3885,2nv7tBYWq9,single,Ama de casa,highschool,18.4547542,-69.2075637,47.0,female,0,Lavega,moreThan10,everyday,bottled,,cementWorking,working,Other,Other,Other,0,burned,3,0,owned,Y
3886,Ncf5L5hLP6,widow,Other,lessThanprimary,18.4547455,-69.2075542,88.0,female,0,Lavega,moreThan10,everyday,bottled,,cementWorking,working,Other,Other,Other,0,other,2,0,owned,Y
3887,gabnUmrXbj,free_union,Other,someHighSchool,18.494889,-69.2638199,59.0,male,0,Lavega,moreThan10,2-3AWeek,bottled,Y,cementWorking,poor,Other,Other,Garbage,1-2,street,6,0,owned,
3888,uCjXeaMjlV,single,Ama de casa,lessThanprimary,18.494889,-69.2638199,79.0,female,0,Lavega,moreThan10,2-3AWeek,bottled,Y,cementPoor,poor,Other,Other,Garbage,1-2,street,1,0,owned,
3889,SKIdNZEZxk,free_union,Ama de casa,lessThanprimary,18.5019865,-69.25561390000001,43.0,female,0,Lavega,5-10,everyday,bottled,,cementWorking,working,Ramon Santana Hospital,Ramon Santana Hospital,Other,0,burned,2,0,,Y
3890,xaBMdYpZXK,single,Other,lessThanprimary,18.4666544,-69.28950909999999,70.0,female,0,Lavega,moreThan10,everyday,bottled,Y,cementPoor,poor,Other,Other,Other,1-2,street,1,0,rented,
3891,Ldr3pAMTVE,married,Ama de casa,lessThanprimary,18.4666544,-69.28950909999999,49.0,female,0,Lavega,moreThan10,everyday,bottled,Y,cementPoor,poor,Other,Other,Roads,1-2,other,5,1,owned,
3892,MQXoFAbNkR,married,Other,lessThanprimary,18.4666544,-69.28950909999999,50.0,male,0,Lavega,3-4,everyday,bottled,Y,cementPoor,poor,Al Musa Hospital,Other,Other,0,other,4,0,owned,
3893,XkviscbP7v,single,Other,lessThanprimary,18.4720129,-69.2923954,62.0,male,0,Lavega,1-2,everyday,bottled,Y,cementWorking,working,Al Musa Hospital,Al Musa Hospital,Other,0,burned,2,0,rented,
3894,Qrz4yfyl1P,free_union,Ama de casa,lessThanprimary,18.4535682,-69.309311,64.0,female,0,Lavega,moreThan10,everyday,bottled,,cementPoor,poor,Other,Other,Other,1-2,outside house,3,1,owned,Y
3895,nxXiJaVyG3,married,Ama de casa,someHighSchool,18.4535682,-69.309311,60.0,female,0,Lavega,moreThan10,everyday,bottled,,cementPoor,working,Other,Other,Other,1-2,outside house,6,0,owned,Y
3896,JxgVe6DKQ6,free_union,Ama de casa,college,18.4546979,-69.2077172,33.0,female,0,Lavega,moreThan10,everyday,bottled,Y,cementPoor,poor,Other,Other,Other,1-2,outside house,3,2,owned,
3897,xBAT0hizoU,free_union,Ama de casa,highschool,18.4547619,-69.2078918,53.0,female,0,Lavega,moreThan10,everyday,bottled,,cementWorking,working,Other,Other,Other,1-2,burned,3,0,owned,Y
3898,YU9yMHC8KJ,widow,Ama de casa,lessThanprimary,18.4546683,-69.2075542,73.0,female,0,Lavega,moreThan10,everyday,bottled,,cementPoor,poor,Other,Other,Other,1-2,burned,3,0,owned,Y
3899,ey8WVTxjqK,married,Ama de casa,highschool,18.4547619,-69.2078918,45.0,female,0,Lavega,moreThan10,everyday,bottled,,cementWorking,working,Other,Other,Other,1-2,burned,2,0,rented,Y
3900,6Mj2vjDMCC,single,Other,college,18.4577938,-69.22450649999999,35.0,female,0,Lavega,1-2,everyday,bottled,Y,cementPoor,working,Other,Other,Other,0,other,1,0,rented,N
3901,p3rB5DrMuI,free_union,Other,someHighSchool,18.4577938,-69.22450649999999,42.0,male,0,Lavega,moreThan10,everyday,bottled,Y,cementWorking,working,Other,Al Musa Hospital,Other,1-2,street,3,1,rented,
3902,lFWqJq9k7N,widow,Ama de casa,lessThanprimary,18.4547439,-69.20717619999999,65.0,female,0,Lavega,moreThan10,everyday,bottled,,cementWorking,working,Other,Other,Other,1-2,burned,2,0,owned,Y
3903,BHpZVUEj3s,free_union,Other,someHighSchool,18.4577938,-69.22450649999999,32.0,male,0,Lavega,5-10,everyday,bottled,Y,cementWorking,working,Other,Al Musa Hospital,Other,1-2,street,2,0,rented,
3904,YTLvU9H0T2,single,Other,someHighSchool,18.458634,-69.2156042,29.0,male,0,Lavega,3-4,everyday,bottled,Y,dirtWorking,working,Other,Other,Other,0,other,1,0,rented,Y
3905,qIRmZnrFAO,single,Agriculture,lessThanprimary,18.4577938,-69.22450649999999,59.0,male,0,Lavega,moreThan10,everyday,bottled,Y,cementWorking,working,Other,Al Musa Hospital,Other,1-2,street,2,0,rented,
3906,SagDJQnpXJ,single,Other,lessThanprimary,18.4577938,-69.22450649999999,34.0,male,0,Lavega,3-4,everyday,bottled,Y,cementPoor,working,Al Musa Hospital,Other,Other,0,other,2,0,owned,
3907,tLox5v1Hcp,single,Other,someHighSchool,18.458634,-69.2156042,30.0,male,0,Lavega,lessThan1,everyday,bottled,Y,dirtWorking,working,Other,Other,Other,0,other,4,0,rented,
3908,HpojjdK9z9,married,Ama de casa,lessThanprimary,18.448906,-69.1907152,66.0,female,0,Lavega,moreThan10,everyday,bottled,,cementWorking,working,Other,Other,Other,1-2,burned,7,0,owned,Y
3909,HeR8jiLyTI,free_union,Ama de casa,lessThanprimary,18.462275,-69.23283,39.0,female,0,Lavega,moreThan10,everyday,bottled,N,cementPoor,poor,Al Musa Hospital,Other,Other,0,other,8,1,rented,N
3910,kI6q4g6fYT,single,Other,lessThanprimary,18.4546268,-69.2063203,76.0,female,0,Lavega,moreThan10,everyday,bottled,,cementWorking,working,Other,Other,Other,1-2,outside house,4,0,owned,Y
3911,WdDbW9e2YH,single,Ama de casa,lessThanprimary,18.4577938,-69.22450649999999,71.0,female,0,Lavega,moreThan10,everyday,bottled,Y,cementWorking,working,Other,Al Musa Hospital,Other,1-2,street,1,0,rented,
3912,KaTyDypFKb,single,Other,lessThanprimary,18.4577938,-69.22450649999999,22.0,male,0,Lavega,moreThan10,everyday,bottled,Y,,poor,Other,Other,Other,0,other,6,0,rented,
3913,74uAQRPvEy,single,Other,lessThanprimary,18.4577938,-69.22450649999999,66.0,male,0,Lavega,moreThan10,everyday,bottled,Y,dirtWorking,working,Other,Other,Other,0,other,1,0,rented,
3914,zIfZDglv0G,free_union,Other,lessThanprimary,18.4577938,-69.22450649999999,50.0,male,0,Lavega,moreThan10,everyday,bottled,N,cementWorking,working,Other,Al Musa Hospital,Other,1-2,street,3,0,rented,N
3915,DCF88wGqgW,single,Other,lessThanprimary,18.4546268,-69.2063203,82.0,male,0,Lavega,moreThan10,everyday,bottled,Y,cementWorking,working,Other,Other,Other,1-2,burned,5,0,owned,
