,objectId,marriageStatus,occupation,educationLevel,latitude,longitude,city,province,age,sex
678,WZSHBytP9H,married,Ama de casa,college,18.90461216,-70.74208309,Constanza,La Vega,25.0,female
679,O9rFSMx1dN,married,Other,someHighSchool,18.9008483,-70.7397066,Constanza,La Vega,34.0,male
680,2ew4jnj3dU,widow,Other,someHighSchool,18.9008483,-70.7397066,Constanza,La Vega,57.0,female
681,kxl72ETOD6,married,Other,,18.90464059,-70.74222261,Constanza,La Vega,63.0,male
682,j1XHCGfa7u,concubine,Other,college,18.9008483,-70.7397066,Constanza,La Vega,41.0,female
683,CVpJaZ4M1Z,married,Ama de casa,lessThanprimary,18.90590722674402,-70.75843459933134,Constanza,La Vega,,female
684,ikG8Pa8Eem,married,Other,,18.90590722674402,-70.75843459933134,Constanza,La Vega,,female
685,wSqOmCvnZo,single,Other,someHighSchool,18.90482409,-70.74219021,Constanza,La Vega,27.0,male
686,A4MunXeFbo,single,Estudiante,college,18.906076415459534,-70.75851640670629,Constanza,La Vega,,male
687,b3RPvWbw4j,single,Other,,18.90488797,-70.74253457,Constanza,La Vega,69.0,female
688,7sN4bcqlYS,married,Ama de casa,someHighSchool,18.9008483,-70.7397066,Constanza,La Vega,46.0,female
689,DaQyGohaui,concubine,Other,someCollege,18.904968399999998,-70.74257961,Constanza,La Vega,64.0,male
690,KvSmfv3B6t,married,Other,highschool,18.9008483,-70.7397066,Constanza,La Vega,50.0,female
691,dilCI1mF5N,single,Ama de casa,,18.90489628,-70.74275227,Constanza,La Vega,63.0,female
692,p7KeiZhZPf,married,Other,highschool,18.942785999999998,-70.67833259999999,Tireo,La Vega,21.0,female
693,arNGCXYuzU,single,Ama de casa,someHighSchool,18.942785999999998,-70.67833259999999,Tireo,La Vega,24.0,female
694,1jhf6aBKnA,single,Ama de casa,highschool,18.9429624,-70.6781119,Tireo,La Vega,43.0,female
695,zjjhzvhPrq,married,Ama de casa,highschool,18.9429624,-70.6781119,Tireo,La Vega,20.0,female
696,Mzez5VGPzW,widow,Ama de casa,lessThanprimary,18.9490541,-70.6863052,Tireo,La Vega,74.0,female
697,0hmA0Hfj3K,single,Other,someHighSchool,18.9038781,-70.74286547,Constanza,La Vega,23.0,male
698,oki2CE9oZU,married,Other,highschool,18.9490541,-70.6863052,Tireo,La Vega,51.0,female
699,DaNNvA6GBa,single,Other,someHighSchool,18.90411314,-70.74286059999999,Constanza,La Vega,63.0,male
700,fzhCg5KdlV,single,Other,someHighSchool,18.9008483,-70.7397066,Constanza,La Vega,55.0,female
701,XFyP8QbYHI,single,Other,lessThanprimary,18.9008483,-70.7397066,Constanza,La Vega,54.0,male
702,7KNIzOJRre,single,Other,primary,18.90418991,-70.74292607,Constanza,La Vega,41.0,male
703,t9XfUxUIpA,married,Other,someHighSchool,18.9008483,-70.7397066,Constanza,La Vega,34.0,female
704,20Ua8cZJkU,married,Ama de casa,someHighSchool,18.90416973,-70.74290450000001,Constanza,La Vega,24.0,female
