objectId,yearsLivedinthecommunity,yearsLivedinThisHouse,waterAccess,typeofWaterdoyoudrink,latrineAccess,clinicAccess,conditionoFloorinyourhouse,conditionoRoofinyourhouse,medicalproblemswheredoyougo,dentalproblemswheredoyougo,biggestproblemofcommunity,timesperweektrashcollected,wheretrashleftbetweenpickups,numberofIndividualsLivingintheHouse,numberofChildrenLivinginHouseUndertheAgeof5,houseownership,bathroomAccess,stoveType
GEoANM3n9Y,moreThan10,moreThan10,1AWeek,tap,Y,Y,cementPoor,working,Other Hospital,Dentist,Other,1,other,4,0,,,
APd9DjCZZ8,moreThan10,3-4,Never,bottled,Y,Y,dirtWorking,working,Other,Other,Water,Unknown,other,4,0,,,
SDsK4BRlDe,3-4,3-4,2-3AWeek,bottled,Y,Y,cementWorking,working,Other Hospital,Other Hospital,Roads,1,outside house,4,0,,,
RQ5aRGHKXu,moreThan10,moreThan10,2-3AWeek,bottled,Y,N,cementPoor,poor,Other Hospital,Dentist,Other,2,other,4,0,,,
RQ5aRGHKXu,moreThan10,moreThan10,2-3AWeek,bottled,Y,N,cementPoor,poor,Other Hospital,Dentist,Other,2,other,4,0,,,
7bF6YFxuIz,moreThan10,moreThan10,4-6AWeek,tap,Y,Y,cementPoor,poor,Other Hospital,Other Hospital,Water,1,street,4,0,,,
7bF6YFxuIz,moreThan10,moreThan10,4-6AWeek,tap,Y,Y,cementPoor,poor,Other Hospital,Other Hospital,Water,1,street,4,0,,,
7bF6YFxuIz,moreThan10,moreThan10,4-6AWeek,tap,Y,Y,cementPoor,poor,Other Hospital,Other Hospital,Water,1,street,4,0,,,
7bF6YFxuIz,moreThan10,moreThan10,4-6AWeek,tap,Y,Y,cementPoor,poor,Other Hospital,Other Hospital,Water,1,street,4,0,,,
7bF6YFxuIz,moreThan10,moreThan10,4-6AWeek,tap,Y,Y,cementPoor,poor,Other Hospital,Other Hospital,Water,1,street,4,0,,,
7bF6YFxuIz,moreThan10,moreThan10,4-6AWeek,tap,Y,Y,cementPoor,poor,Other Hospital,Other Hospital,Water,1,street,4,0,,,
7bF6YFxuIz,moreThan10,moreThan10,4-6AWeek,tap,Y,Y,cementPoor,poor,Other Hospital,Other Hospital,Water,1,street,4,0,,,
7bF6YFxuIz,moreThan10,moreThan10,4-6AWeek,tap,Y,Y,cementPoor,poor,Other Hospital,Other Hospital,Water,1,street,4,0,,,
7bF6YFxuIz,moreThan10,moreThan10,4-6AWeek,tap,Y,Y,cementPoor,poor,Other Hospital,Other Hospital,Water,1,street,4,0,,,
7bF6YFxuIz,moreThan10,moreThan10,4-6AWeek,tap,Y,Y,cementPoor,poor,Other Hospital,Other Hospital,Water,1,street,4,0,,,
7bF6YFxuIz,moreThan10,moreThan10,4-6AWeek,tap,Y,Y,cementPoor,poor,Other Hospital,Other Hospital,Water,1,street,4,0,,,
7bF6YFxuIz,moreThan10,moreThan10,4-6AWeek,tap,Y,Y,cementPoor,poor,Other Hospital,Other Hospital,Water,1,street,4,0,,,
7bF6YFxuIz,moreThan10,moreThan10,4-6AWeek,tap,Y,Y,cementPoor,poor,Other Hospital,Other Hospital,Water,1,street,4,0,,,
7bF6YFxuIz,moreThan10,moreThan10,4-6AWeek,tap,Y,Y,cementPoor,poor,Other Hospital,Other Hospital,Water,1,street,4,0,,,
7bF6YFxuIz,moreThan10,moreThan10,4-6AWeek,tap,Y,Y,cementPoor,poor,Other Hospital,Other Hospital,Water,1,street,4,0,,,
