,objectId,yearsLivedinThisHouse,waterAccess,typeofWaterdoyoudrink,latrineAccess,conditionoFloorinyourhouse,conditionoRoofinyourhouse,medicalproblemswheredoyougo,dentalproblemswheredoyougo,biggestproblemofcommunity,timesperweektrashcollected,wheretrashleftbetweenpickups,numberofIndividualsLivingintheHouse,numberofChildrenLivinginHouseUndertheAgeof5,houseownership,bathroomAccess
848,DbV7bH7wmb,moreThan10,2-3AWeek,bottled,Y,cementWorking,working,Other Hospital,Other Hospital,Roads,1-2,street,4,1,rented,
849,DbV7bH7wmb,moreThan10,2-3AWeek,bottled,Y,cementWorking,working,Other Hospital,Other Hospital,Roads,1-2,street,4,1,rented,
850,DbV7bH7wmb,moreThan10,2-3AWeek,bottled,Y,cementWorking,working,Other Hospital,Other Hospital,Roads,1-2,street,4,1,rented,
851,DbV7bH7wmb,moreThan10,2-3AWeek,bottled,Y,cementWorking,working,Other Hospital,Other Hospital,Roads,1-2,street,4,1,rented,
852,DbV7bH7wmb,moreThan10,2-3AWeek,bottled,Y,cementWorking,working,Other Hospital,Other Hospital,Roads,1-2,street,4,1,rented,
853,DbV7bH7wmb,moreThan10,2-3AWeek,bottled,Y,cementWorking,working,Other Hospital,Other Hospital,Roads,1-2,street,4,1,rented,
854,DbV7bH7wmb,moreThan10,2-3AWeek,bottled,Y,cementWorking,working,Other Hospital,Other Hospital,Roads,1-2,street,4,1,rented,
855,DbV7bH7wmb,moreThan10,2-3AWeek,bottled,Y,cementWorking,working,Other Hospital,Other Hospital,Roads,1-2,street,4,1,rented,
856,DbV7bH7wmb,moreThan10,2-3AWeek,bottled,Y,cementWorking,working,Other Hospital,Other Hospital,Roads,1-2,street,4,1,rented,
857,DbV7bH7wmb,moreThan10,2-3AWeek,bottled,Y,cementWorking,working,Other Hospital,Other Hospital,Roads,1-2,street,4,1,rented,
858,DbV7bH7wmb,moreThan10,2-3AWeek,bottled,Y,cementWorking,working,Other Hospital,Other Hospital,Roads,1-2,street,4,1,rented,
859,DbV7bH7wmb,moreThan10,2-3AWeek,bottled,Y,cementWorking,working,Other Hospital,Other Hospital,Roads,1-2,street,4,1,rented,
860,DbV7bH7wmb,moreThan10,2-3AWeek,bottled,Y,cementWorking,working,Other Hospital,Other Hospital,Roads,1-2,street,4,1,rented,
861,DbV7bH7wmb,moreThan10,2-3AWeek,bottled,Y,cementWorking,working,Other Hospital,Other Hospital,Roads,1-2,street,4,1,rented,
862,FhJX31Dq02,moreThan10,everyday,bottled,Y,cementWorking,working,Other Hospital,Other Hospital,Other,1-2,street,5,0,rented,
863,FhJX31Dq02,moreThan10,everyday,bottled,Y,cementWorking,working,Other Hospital,Other Hospital,Other,1-2,street,5,0,rented,
864,OVmGYrLpAa,moreThan10,2-3AWeek,bottled,Y,cementWorking,working,Other Hospital,Other Hospital,Roads,1-2,outside house,4,1,rented,
865,igBN6maYVC,moreThan10,,bottled,Y,cementWorking,working,Other Hospital,Other Hospital,Roads,1-2,street,3,1,rented,
866,igBN6maYVC,moreThan10,,bottled,Y,cementWorking,working,Other Hospital,Other Hospital,Roads,1-2,street,3,1,rented,
867,jWLfUYk2Io,3-4,2-3AWeek,bottled,Y,cementWorking,working,Other Hospital,Other Hospital,Roads,1-2,outside house,4,0,rented,
868,7zoEztVvNf,3-4,2-3AWeek,bottled,Y,cementWorking,working,Other Hospital,Other Hospital,Roads,1-2,outside house,4,0,rented,
869,DEOHChstE0,moreThan10,2-3AWeek,bottled,Y,cementWorking,working,Other Hospital,Other Hospital,Roads,1-2,street,3,1,rented,
870,BGWmu6UzID,3-4,everyday,bottled,Y,cementPoor,poor,Other Hospital,Other Hospital,Other,1-2,street,4,0,rented,
871,BGWmu6UzID,3-4,everyday,bottled,Y,cementPoor,poor,Other Hospital,Other Hospital,Other,1-2,street,4,0,rented,
872,BGWmu6UzID,3-4,everyday,bottled,Y,cementPoor,poor,Other Hospital,Other Hospital,Other,1-2,street,4,0,rented,
873,BGWmu6UzID,3-4,everyday,bottled,Y,cementPoor,poor,Other Hospital,Other Hospital,Other,1-2,street,4,0,rented,
874,FBWIQkx8Kv,lessThan1,everyday,bottled,Y,cementPoor,poor,Other,Clinic,Delinquents,1-2,street,3,1,rented,
875,FBWIQkx8Kv,lessThan1,everyday,bottled,Y,cementPoor,poor,Other,Clinic,Delinquents,1-2,street,3,1,rented,
876,ew1gi0FFRB,3-4,2-3AWeek,bottled,Y,cementWorking,working,Other Hospital,Other Hospital,Roads,1-2,street,2,0,rented,
877,SQeSkCK3Di,moreThan10,2-3AWeek,bottled,Y,cementWorking,working,Other Hospital,Other Hospital,Roads,1-2,street,3,1,rented,
878,yMYqII4kxH,1-2,everyday,bottled,Y,cementWorking,working,Clinic,Other,Other,1-2,sidewalk,2,0,rented,
879,TMJBCCjpaL,3-4,everyday,bottled,Y,cementWorking,working,Other Hospital,Other,Garbage,1-2,sidewalk,2,0,rented,
880,k4uI0oFqpD,1-2,everyday,bottled,Y,cementWorking,working,Other Hospital,Other,Garbage,1-2,sidewalk,2,0,rented,
881,Vc6rnHcx4O,lessThan1,everyday,bottled,Y,cementWorking,working,Other,Other,Other,1-2,sidewalk,2,0,owned,
882,EedIHyjr3M,lessThan1,everyday,bottled,Y,cementWorking,working,Other Hospital,Other,Other,1-2,sidewalk,6,1,rented,
883,escJYXzCKH,3-4,2-3AWeek,tap,Y,cementWorking,poor,Clinic,Other Hospital,Water,1-2,outside house,3,0,owned,
